Ben D. Dover4|ice Wallow Come4|Bob Dyke8|
Ben D. Dover9|ice Wallow Come8|Bob Dyke15|
Bob Dyketook a shortcut|Ben D. Dover11|ice Wallow Come13|Bob Dyke28|
Ben D. Dover12|ice Wallow Come16|Bob Dyke33|
Ben D. Dover14|ice Wallow Come19|Bob Dyke41|
Ben D. Dover19|ice Wallow Come24|Bob Dyke42|
Ben D. Dover24|ice Wallow Come27|Bob Dyke44|
Ben D. Dover28|ice Wallow Come30|Bob Dyke45|
Ben D. Dover33|ice Wallow Come34|Bob Dyke51|
Ben D. Dover38|ice Wallow Come37|Bob Dyke52|
Ben D. Dover40|ice Wallow Come39|Bob Dyke53|
Ben D. Dover43|ice Wallow Come43|Bob Dyke59|
Ben D. Dover44|ice Wallow Come47|Bob Dyke63|
Ben D. Dover48|ice Wallow Come48|Bob Dyke65|
Ben D. Dover50|ice Wallow Come50|Bob Dyke73|
Ben D. Dovertook a shortcut|ice Wallow Cometook a shortcut|Ben D. Dover59|ice Wallow Come59|Bob Dyke76|
Ben D. Dover63|ice Wallow Come62|Bob Dyke83|
Ben D. Dover67|ice Wallow Come66|Bob Dyke88|
Ben D. Dover70|ice Wallow Come67|Bob Dyke90|
Ben D. Dover75|ice Wallow Come68|Bob Dyke97|
Ben D. Dover76|ice Wallow Come71|Bob Dyke100|
